name,varlab
update_date20200802,update date
DayDeaMeRaLANL20200805,Daily deaths mean raw LANL
DayDeaMeSmLANL20200805,Daily deaths mean smooth LANL
DayDeaMeFoLANL20200805,Daily deaths mean smooth forecast only LANL
update_date20200805,update date
DayDeaMeRaLANL20200809,Daily deaths mean raw LANL
DayDeaMeSmLANL20200809,Daily deaths mean smooth LANL
DayDeaMeFoLANL20200809,Daily deaths mean smooth forecast only LANL
update_date20200809,update date
DayDeaMeRaLANL20200812,Daily deaths mean raw LANL
DayDeaMeSmLANL20200812,Daily deaths mean smooth LANL
DayDeaMeFoLANL20200812,Daily deaths mean smooth forecast only LANL
update_date20200812,update date
DayDeaMeRaLANL20200816,Daily deaths mean raw LANL
DayDeaMeSmLANL20200816,Daily deaths mean smooth LANL
DayDeaMeFoLANL20200816,Daily deaths mean smooth forecast only LANL
update_date20200816,update date
DayDeaMeRaLANL20200819,Daily deaths mean raw LANL
DayDeaMeSmLANL20200819,Daily deaths mean smooth LANL
DayDeaMeFoLANL20200819,Daily deaths mean smooth forecast only LANL
update_date20200819,update date
DayDeaMeRaLANL20200823,Daily deaths mean raw LANL
DayDeaMeSmLANL20200823,Daily deaths mean smooth LANL
DayDeaMeFoLANL20200823,Daily deaths mean smooth forecast only LANL
update_date20200823,update date
DayDeaMeRaLANL20200826,Daily deaths mean raw LANL
DayDeaMeSmLANL20200826,Daily deaths mean smooth LANL
DayDeaMeFoLANL20200826,Daily deaths mean smooth forecast only LANL
update_date20200826,update date
DayDeaMeRaLANL20200830,Daily deaths mean raw LANL
DayDeaMeSmLANL20200830,Daily deaths mean smooth LANL
DayDeaMeFoLANL20200830,Daily deaths mean smooth forecast only LANL
update_date20200830,update date
DayDeaMeRaLANL20200902,Daily deaths mean raw LANL
DayDeaMeSmLANL20200902,Daily deaths mean smooth LANL
DayDeaMeFoLANL20200902,Daily deaths mean smooth forecast only LANL
update_date20200902,update date
DayDeaMeRaLANL20200906,Daily deaths mean raw LANL
DayDeaMeSmLANL20200906,Daily deaths mean smooth LANL
DayDeaMeFoLANL20200906,Daily deaths mean smooth forecast only LANL
update_date20200906,update date
DayDeaMeRaLANL20200909,Daily deaths mean raw LANL
DayDeaMeSmLANL20200909,Daily deaths mean smooth LANL
DayDeaMeFoLANL20200909,Daily deaths mean smooth forecast only LANL
update_date20200909,update date
DayDeaMeRaLANL20200913,Daily deaths mean raw LANL
DayDeaMeSmLANL20200913,Daily deaths mean smooth LANL
DayDeaMeFoLANL20200913,Daily deaths mean smooth forecast only LANL
update_date20200913,update date
