name,varlab
DDPerErrIHME20210409_Med1,DayDeaIHME median % error by calendar months and updates
DDPerErrIHME20210401_Med1,DayDeaIHME median % error by calendar months and updates
DDPerErrIHME20210325_Med1,DayDeaIHME median % error by calendar months and updates
DDPerErrIHME20210317_Med1,DayDeaIHME median % error by calendar months and updates
DDPerErrIHME20210311_Med1,DayDeaIHME median % error by calendar months and updates
DDPerErrIHME20210306_Med1,DayDeaIHME median % error by calendar months and updates
DDPerErrIHME20210225_Med1,DayDeaIHME median % error by calendar months and updates
DDPerErrIHME20210220_Med1,DayDeaIHME median % error by calendar months and updates
DDPerErrIHME20210212_Med1,DayDeaIHME median % error by calendar months and updates
DDPerErrIHME20210204_Med1,DayDeaIHME median % error by calendar months and updates
DDPerErrIHME20210128_Med1,DayDeaIHME median % error by calendar months and updates
DDPerErrIHME20210122_Med1,DayDeaIHME median % error by calendar months and updates
DDPerErrIHME20210115_Med1,DayDeaIHME median % error by calendar months and updates
DDPerErrIHME20201223_Med1,DayDeaIHME median % error by calendar months and updates
DDPerErrIHME20201217_Med1,DayDeaIHME median % error by calendar months and updates
DDPerErrIHME20201210_Med1,DayDeaIHME median % error by calendar months and updates
DDPerErrIHME20201203_Med1,DayDeaIHME median % error by calendar months and updates
DDPerErrIHME20201119_Med1,DayDeaIHME median % error by calendar months and updates
DDPerErrIHME20201112_Med1,DayDeaIHME median % error by calendar months and updates
DDPerErrIHME20201029_Med1,DayDeaIHME median % error by calendar months and updates
DDPerErrIHME20201022_Med1,DayDeaIHME median % error by calendar months and updates
DDPerErrIHME20201015_Med1,DayDeaIHME median % error by calendar months and updates
DDPerErrIHME20201009_Med1,DayDeaIHME median % error by calendar months and updates
DDPerErrIHME20201002_Med1,DayDeaIHME median % error by calendar months and updates
DDPerErrIHME20200924_Med1,DayDeaIHME median % error by calendar months and updates
DDPerErrIHME20200918_Med1,DayDeaIHME median % error by calendar months and updates
DDPerErrIHME20200911_Med1,DayDeaIHME median % error by calendar months and updates
DDPerErrIHME20200903_Med1,DayDeaIHME median % error by calendar months and updates
DDPerErrIHME20200827_Med1,DayDeaIHME median % error by calendar months and updates
DDPerErrIHME20200821_Med1,DayDeaIHME median % error by calendar months and updates
DDPerErrIHME20200806_Med1,DayDeaIHME median % error by calendar months and updates
DDPerErrIHME20200730_Med1,DayDeaIHME median % error by calendar months and updates
DDPerErrIHME20200722_Med1,DayDeaIHME median % error by calendar months and updates
DDPerErrIHME20200714_Med1,DayDeaIHME median % error by calendar months and updates
DDPerErrIHME20200707_Med1,DayDeaIHME median % error by calendar months and updates
DDPerErrIHME20200629_Med1,DayDeaIHME median % error by calendar months and updates
DDPerErrIHME20200625_Med1,DayDeaIHME median % error by calendar months and updates
DDAbsErrIHME20221216_Med1,DayDeaIHME median absolute error by calendar months and updates
DDAbsErrIHME20221118_Med1,DayDeaIHME median absolute error by calendar months and updates
DDAbsErrIHME20221024_Med1,DayDeaIHME median absolute error by calendar months and updates
DDAbsErrIHME20220912_Med1,DayDeaIHME median absolute error by calendar months and updates
DDAbsErrIHME20220719_Med1,DayDeaIHME median absolute error by calendar months and updates
DDAbsErrIHME20220610_Med1,DayDeaIHME median absolute error by calendar months and updates
DDAbsErrIHME20220506_Med1,DayDeaIHME median absolute error by calendar months and updates
DDAbsErrIHME20220408_Med1,DayDeaIHME median absolute error by calendar months and updates
DDAbsErrIHME20220321_Med1,DayDeaIHME median absolute error by calendar months and updates
DDAbsErrIHME20220218_Med1,DayDeaIHME median absolute error by calendar months and updates
DDAbsErrIHME20220204_Med1,DayDeaIHME median absolute error by calendar months and updates
DDAbsErrIHME20220121_Med1,DayDeaIHME median absolute error by calendar months and updates
DDAbsErrIHME20220114_Med1,DayDeaIHME median absolute error by calendar months and updates
DDAbsErrIHME20220108_Med1,DayDeaIHME median absolute error by calendar months and updates
DDAbsErrIHME20211221_Med1,DayDeaIHME median absolute error by calendar months and updates
DDAbsErrIHME20211119_Med1,DayDeaIHME median absolute error by calendar months and updates
DDAbsErrIHME20211104_Med1,DayDeaIHME median absolute error by calendar months and updates
DDAbsErrIHME20211021_Med1,DayDeaIHME median absolute error by calendar months and updates
DDAbsErrIHME20211015_Med1,DayDeaIHME median absolute error by calendar months and updates
DDAbsErrIHME20210930_Med1,DayDeaIHME median absolute error by calendar months and updates
DDAbsErrIHME20210923_Med1,DayDeaIHME median absolute error by calendar months and updates
DDAbsErrIHME20210916_Med1,DayDeaIHME median absolute error by calendar months and updates
DDAbsErrIHME20210910_Med1,DayDeaIHME median absolute error by calendar months and updates
DDAbsErrIHME20210902_Med1,DayDeaIHME median absolute error by calendar months and updates
DDAbsErrIHME20210826_Med1,DayDeaIHME median absolute error by calendar months and updates
DDAbsErrIHME20210820_Med1,DayDeaIHME median absolute error by calendar months and updates
DDAbsErrIHME20210806_Med1,DayDeaIHME median absolute error by calendar months and updates
DDAbsErrIHME20210730_Med1,DayDeaIHME median absolute error by calendar months and updates
DDAbsErrIHME20210723_Med1,DayDeaIHME median absolute error by calendar months and updates
DDAbsErrIHME20210715_Med1,DayDeaIHME median absolute error by calendar months and updates
DDAbsErrIHME20210702_Med1,DayDeaIHME median absolute error by calendar months and updates
DDAbsErrIHME20210625_Med1,DayDeaIHME median absolute error by calendar months and updates
DDAbsErrIHME20210618_Med1,DayDeaIHME median absolute error by calendar months and updates
DDAbsErrIHME20210610_Med1,DayDeaIHME median absolute error by calendar months and updates
DDAbsErrIHME20210604_Med1,DayDeaIHME median absolute error by calendar months and updates
DDAbsErrIHME20210528_Med1,DayDeaIHME median absolute error by calendar months and updates
DDAbsErrIHME20210521_Med1,DayDeaIHME median absolute error by calendar months and updates
DDAbsErrIHME20210514_Med1,DayDeaIHME median absolute error by calendar months and updates
DDAbsErrIHME20210506_Med1,DayDeaIHME median absolute error by calendar months and updates
DDAbsErrIHME20210423_Med1,DayDeaIHME median absolute error by calendar months and updates
DDAbsErrIHME20210416_Med1,DayDeaIHME median absolute error by calendar months and updates
DDAbsErrIHME20210409_Med1,DayDeaIHME median absolute error by calendar months and updates
DDAbsErrIHME20210401_Med1,DayDeaIHME median absolute error by calendar months and updates
DDAbsErrIHME20210325_Med1,DayDeaIHME median absolute error by calendar months and updates
DDAbsErrIHME20210317_Med1,DayDeaIHME median absolute error by calendar months and updates
DDAbsErrIHME20210311_Med1,DayDeaIHME median absolute error by calendar months and updates
DDAbsErrIHME20210306_Med1,DayDeaIHME median absolute error by calendar months and updates
DDAbsErrIHME20210225_Med1,DayDeaIHME median absolute error by calendar months and updates
DDAbsErrIHME20210220_Med1,DayDeaIHME median absolute error by calendar months and updates
DDAbsErrIHME20210212_Med1,DayDeaIHME median absolute error by calendar months and updates
