name,varlab
DDAbPeErLANL20201021_Med1,DayDeaLANL median absolute % error by calendar months and updates
DDAbPeErLANL20201018_Med1,DayDeaLANL median absolute % error by calendar months and updates
DDAbPeErLANL20201014_Med1,DayDeaLANL median absolute % error by calendar months and updates
DDAbPeErLANL20201011_Med1,DayDeaLANL median absolute % error by calendar months and updates
DDAbPeErLANL20201007_Med1,DayDeaLANL median absolute % error by calendar months and updates
DDAbPeErLANL20201004_Med1,DayDeaLANL median absolute % error by calendar months and updates
DDAbPeErLANL20200930_Med1,DayDeaLANL median absolute % error by calendar months and updates
DDAbPeErLANL20200927_Med1,DayDeaLANL median absolute % error by calendar months and updates
DDAbPeErLANL20200923_Med1,DayDeaLANL median absolute % error by calendar months and updates
DDAbPeErLANL20200920_Med1,DayDeaLANL median absolute % error by calendar months and updates
DDAbPeErLANL20200916_Med1,DayDeaLANL median absolute % error by calendar months and updates
DDAbPeErLANL20200913_Med1,DayDeaLANL median absolute % error by calendar months and updates
DDAbPeErLANL20200909_Med1,DayDeaLANL median absolute % error by calendar months and updates
DDAbPeErLANL20200906_Med1,DayDeaLANL median absolute % error by calendar months and updates
DDAbPeErLANL20200902_Med1,DayDeaLANL median absolute % error by calendar months and updates
DDAbPeErLANL20200830_Med1,DayDeaLANL median absolute % error by calendar months and updates
DDAbPeErLANL20200826_Med1,DayDeaLANL median absolute % error by calendar months and updates
DDAbPeErLANL20200823_Med1,DayDeaLANL median absolute % error by calendar months and updates
DDAbPeErLANL20200819_Med1,DayDeaLANL median absolute % error by calendar months and updates
DDAbPeErLANL20200816_Med1,DayDeaLANL median absolute % error by calendar months and updates
DDAbPeErLANL20200812_Med1,DayDeaLANL median absolute % error by calendar months and updates
DDAbPeErLANL20200809_Med1,DayDeaLANL median absolute % error by calendar months and updates
DDAbPeErLANL20200805_Med1,DayDeaLANL median absolute % error by calendar months and updates
DDAbPeErLANL20200802_Med1,DayDeaLANL median absolute % error by calendar months and updates
