name,varlab
DDAbPeErIMPE20200915_Med1,DayDeaIMPE median absolute % error by calendar months and updates
DDAbPeErIMPE20200912_Med1,DayDeaIMPE median absolute % error by calendar months and updates
DDAbPeErIMPE20200908_Med1,DayDeaIMPE median absolute % error by calendar months and updates
DDAbPeErIMPE20200906_Med1,DayDeaIMPE median absolute % error by calendar months and updates
DDAbPeErIMPE20200902_Med1,DayDeaIMPE median absolute % error by calendar months and updates
DDAbPeErIMPE20200831_Med1,DayDeaIMPE median absolute % error by calendar months and updates
DDAbPeErIMPE20200827_Med1,DayDeaIMPE median absolute % error by calendar months and updates
DDAbPeErIMPE20200825_Med1,DayDeaIMPE median absolute % error by calendar months and updates
DDAbPeErIMPE20200823_Med1,DayDeaIMPE median absolute % error by calendar months and updates
DDAbPeErIMPE20200817_Med1,DayDeaIMPE median absolute % error by calendar months and updates
DDAbPeErIMPE20200814_Med1,DayDeaIMPE median absolute % error by calendar months and updates
DDAbPeErIMPE20200813_Med1,DayDeaIMPE median absolute % error by calendar months and updates
DDAbPeErIMPE20200811_Med1,DayDeaIMPE median absolute % error by calendar months and updates
DDAbPeErIMPE20200810_Med1,DayDeaIMPE median absolute % error by calendar months and updates
DDAbPeErIMPE20200808_Med1,DayDeaIMPE median absolute % error by calendar months and updates
DDAbPeErIMPE20200731_Med1,DayDeaIMPE median absolute % error by calendar months and updates
DDAbPeErIMPE20200727_Med1,DayDeaIMPE median absolute % error by calendar months and updates
DDAbPeErIMPE20200725_Med1,DayDeaIMPE median absolute % error by calendar months and updates
DDAbPeErIMPE20200722_Med1,DayDeaIMPE median absolute % error by calendar months and updates
DDAbPeErIMPE20200720_Med1,DayDeaIMPE median absolute % error by calendar months and updates
DDAbPeErIMPE20200718_Med1,DayDeaIMPE median absolute % error by calendar months and updates
DDAbPeErIMPE20200715_Med1,DayDeaIMPE median absolute % error by calendar months and updates
DDAbPeErIMPE20200714_Med1,DayDeaIMPE median absolute % error by calendar months and updates
DDAbPeErIMPE20200711_Med1,DayDeaIMPE median absolute % error by calendar months and updates
DDAbPeErIMPE20200707_Med1,DayDeaIMPE median absolute % error by calendar months and updates
DDAbPeErIMPE20200704_Med1,DayDeaIMPE median absolute % error by calendar months and updates
DDAbPeErIMPE20200703_Med1,DayDeaIMPE median absolute % error by calendar months and updates
DDAbPeErIMPE20200702_Med1,DayDeaIMPE median absolute % error by calendar months and updates
DDAbPeErIMPE20200628_Med1,DayDeaIMPE median absolute % error by calendar months and updates
DDAbPeErIMPE20200626_Med1,DayDeaIMPE median absolute % error by calendar months and updates
DDAbPeErIMPE20200623_Med1,DayDeaIMPE median absolute % error by calendar months and updates
DDAbPeErIMPE20200621_Med1,DayDeaIMPE median absolute % error by calendar months and updates
DDAbPeErIMPE20200619_Med1,DayDeaIMPE median absolute % error by calendar months and updates
DDAbPeErIMPE20200616_Med1,DayDeaIMPE median absolute % error by calendar months and updates
DDAbPeErIMPE20200614_Med1,DayDeaIMPE median absolute % error by calendar months and updates
DDAbPeErIMPE20200609_Med1,DayDeaIMPE median absolute % error by calendar months and updates
DDAbPeErIMPE20200606_Med1,DayDeaIMPE median absolute % error by calendar months and updates
