name,varlab
DayDeaMeSmIMPE20200526,Daily deaths mean smooth IMPE
DayDeaMeFoIMPE20200526,Daily deaths mean smooth forecast only IMPE
update_date20200526,update date
DayDeaMeRaIMPE20200527,Daily deaths mean raw IMPE
DayDeaMeSmIMPE20200527,Daily deaths mean smooth IMPE
DayDeaMeFoIMPE20200527,Daily deaths mean smooth forecast only IMPE
update_date20200527,update date
DayDeaMeRaIMPE20200528,Daily deaths mean raw IMPE
DayDeaMeSmIMPE20200528,Daily deaths mean smooth IMPE
DayDeaMeFoIMPE20200528,Daily deaths mean smooth forecast only IMPE
update_date20200528,update date
DayDeaMeRaIMPE20200529,Daily deaths mean raw IMPE
DayDeaMeSmIMPE20200529,Daily deaths mean smooth IMPE
DayDeaMeFoIMPE20200529,Daily deaths mean smooth forecast only IMPE
update_date20200529,update date
DayDeaMeRaIMPE20200530,Daily deaths mean raw IMPE
DayDeaMeSmIMPE20200530,Daily deaths mean smooth IMPE
DayDeaMeFoIMPE20200530,Daily deaths mean smooth forecast only IMPE
update_date20200530,update date
DayDeaMeRaIMPE20200531,Daily deaths mean raw IMPE
DayDeaMeSmIMPE20200531,Daily deaths mean smooth IMPE
DayDeaMeFoIMPE20200531,Daily deaths mean smooth forecast only IMPE
update_date20200531,update date
DayDeaMeRaIMPE20200601,Daily deaths mean raw IMPE
DayDeaMeSmIMPE20200601,Daily deaths mean smooth IMPE
DayDeaMeFoIMPE20200601,Daily deaths mean smooth forecast only IMPE
update_date20200601,update date
DayDeaMeRaIMPE20200602,Daily deaths mean raw IMPE
DayDeaMeSmIMPE20200602,Daily deaths mean smooth IMPE
DayDeaMeFoIMPE20200602,Daily deaths mean smooth forecast only IMPE
update_date20200602,update date
DayDeaMeRaIMPE20200603,Daily deaths mean raw IMPE
DayDeaMeSmIMPE20200603,Daily deaths mean smooth IMPE
DayDeaMeFoIMPE20200603,Daily deaths mean smooth forecast only IMPE
update_date20200603,update date
DayDeaMeRaIMPE20200604,Daily deaths mean raw IMPE
DayDeaMeSmIMPE20200604,Daily deaths mean smooth IMPE
DayDeaMeFoIMPE20200604,Daily deaths mean smooth forecast only IMPE
update_date20200604,update date
DayDeaMeRaIMPE20200606,Daily deaths mean raw IMPE
DayDeaMeSmIMPE20200606,Daily deaths mean smooth IMPE
DayDeaMeFoIMPE20200606,Daily deaths mean smooth forecast only IMPE
update_date20200606,update date
DayDeaMeRaIMPE20200609,Daily deaths mean raw IMPE
DayDeaMeSmIMPE20200609,Daily deaths mean smooth IMPE
DayDeaMeFoIMPE20200609,Daily deaths mean smooth forecast only IMPE
update_date20200609,update date
DayDeaMeRaIMPE20200614,Daily deaths mean raw IMPE
DayDeaMeSmIMPE20200614,Daily deaths mean smooth IMPE
